"Title","ID","Page Types","slug","Author","pageOwner","Methods","Domains","Person","Project","Organisation","Files","Internal Links","Description","Country Tag","Activity","Person Type","Person Project Coordonation","Person Project Participation","Person Organisation","Person Organisation Roles","Person Organisation - Former","Person Organisation Roles Former","External Links","Organisation Type","Organisation Project","Organisation Project Roles","Organisation People","Organisation People Roles","Organisation Has Member","Organisation Member Of","Organisation Established Date","Project Funded","Project Coordinator","Project Participant Team","Project Organisation","Project Organisation Roles","Project Start Date","Project End Date","Post Content Rich 1","Post Content Rich 2","Post Content Rich 3","Post Content Rich 4","Post Content Rich 5","Post Content Rich 6","Post Content Rich 7","Post Content Rich 8","Post Content Rich 9","Post Content Rich 10","Post Image 1","Post Image 2","Post Image 3","Post Image 4","Post Image 5","Post Image 6","Post Image 7","Post Image 8","Post Image 9","Post Image 10","Media Files","HomePageConfig_featuredOrganisations","HomePageConfig_featuredProjects","HomePageConfig_featuredPeople","Linkedin Link","Website Link","Research Gate Link","ORCID Link","Created Date","Updated Date","Owner"
"Giovanna Guiffrè","df8fdc71-a265-4170-941d-fda3767c5c43","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","giovanna-guiffr-1hujf","[""9f43d0ff-05f5-45a0-a991-618ab5cb0375""]","[""9f43d0ff-05f5-45a0-a991-618ab5cb0375"",""d5357589-65fd-456f-a506-7a4d1275451c"",""79e69062-1f22-4acd-bd5c-b4b0f17a3dad""]",,,"[""9f43d0ff-05f5-45a0-a991-618ab5cb0375""]",,,,,,"[""f1763107-ed68-48ce-96ee-53480a677461""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-18T16:05:49Z,2024-11-18T16:05:49Z,
"Owen Cooper","dfbed7c3-8599-4284-8d06-7816e0a21a0e","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","owen-cooper-o8fq2","[""62d10d59-faec-4011-a747-0025f1e91791""]","[""62d10d59-faec-4011-a747-0025f1e91791""]",,,"[""62d10d59-faec-4011-a747-0025f1e91791""]",,,,,"<p></p>
","[""7a961df9-1176-478f-a675-897542fef358""]","[""c48dc03b-8b35-4b17-805d-d3750d17568f"",""0328a866-26be-4e56-a301-4150e8e49637""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2025-03-12T05:54:56Z,2025-03-12T05:54:56Z,"8ecd8615-7ec9-4e50-8aba-3cf02a1bc2cd"
"FEDORA","e00fc477-ee88-4d56-b739-b285fadfff3a","[""fcb0cbbc-98a5-4743-8c8b-1cb1c8326a85""]","fedora-jyedo","[""96f61b50-b22e-4d5b-8730-597ef586e951""]",,,"[""622a56c2-8a0b-4f2f-8df2-2f08463b104c"",""fca15479-fa61-4bac-9600-c327f6ccb1c2""]",,"[""87c2e80d-69bc-42ed-9013-e756d3fe3f8c""]",,,,,"[""f1763107-ed68-48ce-96ee-53480a677461""]",,,,,,,,,,,,,,,,,,"[""f80d06e4-b326-4364-b250-0afa1fc777f3""]",,,"[""889a4484-4dfd-4d0e-859d-7ce5aeab9a88"",""193f7117-351d-45e9-8a03-90ece06a4ad7"",""0ff668d3-84c2-4323-becb-1c96d2d3a320"",""6c8348bb-2c6c-47a5-8d6e-9bb9d9f5107e"",""e0b39024-785a-4e1a-8832-93c24e96970e"",""56947ac0-01f2-4e91-9811-2a8763c3f486""]","[{""organisation"":""The University of Bologna"",""role"":""Coordinator""},{""organisation"":""Kaunas University of Technology"",""role"":""""},{""organisation"":""The University of Helsinki"",""role"":""""},{""organisation"":""University of Oxford"",""role"":""""},{""organisation"":""Teach the Future"",""role"":""""},{""organisation"":""formicablu"",""role"":""""},{""organisation"":"""",""role"":""""}]","2020-08-31T21:00:00.000Z","2023-07-31T21:00:00.000Z","<p></p>
","<p>Regenerating the ecosystem of science learning by developing a future-oriented model to enable creative thinking, foresight and active hope as skills needed in formal and informal science education.</p>
<p>FEDORA was a 3-year EU-funded project, which started in September 2020 and deployed its activities until August 2023. It gathered 6 partner institutions from 5 European countries. It conducted reasearch and practice towards the regeneration of the ecosystem of science learning, by developing a future-oriented model to enable creative thinking, foresight and active hope, as skills needed in formal and informal science education.</p>
<p></p>
<p>https://www.fedora-project.eu/</p>
","<p></p>
",,,,,,,,"{""url"":""https://static.wixstatic.com/media/471908_ac0723da5792436eb019d25929a831ea~mv2.webp"",""caption"":""""}","{""url"":"" "",""caption"":""""}",,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2024-10-28T08:19:50Z,2024-10-28T08:26:38Z,"d3268e01-e2ba-455a-81c4-d86515cf97f8"
"Olivia Brooks","e0bc5827-697f-4539-97e4-66afd330ea93","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","olivia-brooks-dojz4","[""e79fc39a-ac38-4bdd-883b-9da2b8af5b15""]","[""e79fc39a-ac38-4bdd-883b-9da2b8af5b15""]",,,"[""e79fc39a-ac38-4bdd-883b-9da2b8af5b15""]",,,,,"<p></p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,"https://epiccarry.com/",,,2025-08-13T17:37:47Z,2025-08-13T17:37:47Z,"ab4c7bb8-80ce-48c3-b08c-f079bf006a62"
"Valentina Malcotti","e0ff16d3-df7e-4dbc-add3-118597d22ae3","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","valentina-malcotti-iwp4a","[""2865017b-34f3-43e5-9a3e-129b48af5e04""]","[""2865017b-34f3-43e5-9a3e-129b48af5e04"",""d5357589-65fd-456f-a506-7a4d1275451c"",""79e69062-1f22-4acd-bd5c-b4b0f17a3dad""]",,,"[""2865017b-34f3-43e5-9a3e-129b48af5e04""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-18T16:09:32Z,2024-11-18T16:09:32Z,
"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH","e1ac2277-a4c4-45f1-9206-cfe3b6ee6e06","[""e0e12984-c4f3-4800-b201-3cdf4c4a01e8""]","deutsche-gesellschaft-fr-internationale-zusammenarbeit-giz-gmbh-gybej","[""d60b3ee4-aa3e-414d-915b-e5b32ae414d8""]","[""d60b3ee4-aa3e-414d-915b-e5b32ae414d8""]","[""3c4917d4-7467-4fef-a6a3-af7b61b9e196"",""b1d63812-7f03-4fa0-bfc7-b8d89363baa8"",""f0c6523a-d803-4dc9-83ad-b5415d395997"",""6c84e284-84b3-49dd-938d-3a5d8a9f7259"",""475c850e-d389-4122-97b9-c5fec1771fb9""]","[""6f7469f2-f328-4a77-9090-123cb9fd5de4"",""fbc8b693-f1b1-496a-8591-769ad797ad0d"",""21181beb-717e-44c5-aa42-1497a9ab763c"",""cb0ba433-0940-4397-bce8-680c9229cbfb"",""b5ca1e23-5548-4d91-adfe-eeb08f2062a6"",""2e9e1f8b-bc85-4f7a-a16b-91f106b4fa75"",""255f22bd-fa84-4b93-a1f3-df2944b48ffa"",""2bb9642d-dc5a-4fc3-a812-9f98e987705e"",""160f556b-6e6f-4957-a2b6-12a30f8a2d58"",""fca15479-fa61-4bac-9600-c327f6ccb1c2"",""2ceb4abf-2b73-4a2d-b2c3-4d4468d94f4a"",""b6eb6f2d-beae-4471-b980-95b11d48b675"",""368ca20a-2c71-4b52-887c-eb44b0782b61""]",,,"[""2de89dc8-80b8-408b-a9b3-00cb365445e6""]",,,,"[""24e5e426-7a0f-46eb-80e5-f4f6c46bdfff""]",,,,,,,,,,"[""3a4bc570-dc6d-4630-b8bc-694b5a15ac30""]",,,,,,,"2011",,,,,,,,"<p><a href=""https://www.giz.de/en/aboutgiz/profile.html"" target=""_blank""><strong>GIZ Profile: sustainable development for a liveable future</strong></a><strong>  </strong></p>
<p>As a service provider in the field of international cooperation for sustainable development and international education work, we are dedicated to shaping a future worth living around the world. We have over 50 years of experience in a wide variety of areas, including economic development and employment promotion, energy and the environment, and peace and security. The diverse expertise of our federal enterprise is in demand around the globe – from the German Government, European Union institutions, the United Nations, the private sector, and governments of other countries. We work with businesses, civil society actors and research institutions, fostering successful interaction between development policy and other policy fields and areas of activity. Our main commissioning party is the German Federal Ministry for Economic Cooperation and Development (BMZ).</p>
<p><ins>How GIZ uses Foresight Methods:</ins> As a federal enterprise working in the fields of international cooperation for sustainable development and international education, the Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH is greatly affected by the business environment in which it operates and by trends in Germany, Europe and the world. Dealing with the resulting uncertainty, complexity and fast-paced change is often very challenging. This makes it important for GIZ to understand the underlying drivers of change and possible future developments so that it can prepare for the future and for the crises it will have to address, ultimately making the company and its staff more resilient.&nbsp;&nbsp;</p>
","<p></p>
","<p></p>
",,,,,,,,"{""url"":""https://static.wixstatic.com/media/471908_69106cb8733b4b44b8596cb4ab304714~mv2.png"",""caption"":""""}","{""url"":"" "",""caption"":""""}",,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2025-02-06T10:58:16Z,2025-02-06T12:37:05Z,"0f7cf450-f14a-4d5a-93e6-c1600e7f554e"
"Charlotte Freudenberg","e2052cac-f7eb-412a-b266-9f93c7d0f70e","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","charlotte-freudenberg-9jxx3","[""efc99618-13ea-4c88-a45a-43cb29ba4173""]","[""efc99618-13ea-4c88-a45a-43cb29ba4173""]","[""3c4917d4-7467-4fef-a6a3-af7b61b9e196"",""932d682a-b111-46b2-b6a5-aade8c598da6"",""dda76cda-872f-4340-9052-b1db8dec90f8"",""f0c6523a-d803-4dc9-83ad-b5415d395997"",""19a0517e-64e5-48f8-823e-f8ca544c6447"",""46852406-fd55-4a9a-8222-d91c3595110a"",""d86d878d-d647-4b6f-8473-72550e3f34df""]","[""21181beb-717e-44c5-aa42-1497a9ab763c"",""fbc8b693-f1b1-496a-8591-769ad797ad0d"",""9fc4e030-af14-4758-b196-a6e944f572a4"",""b43f4e42-15ce-4719-8df3-9aec8bf5fcdb"",""b5ca1e23-5548-4d91-adfe-eeb08f2062a6""]","[""efc99618-13ea-4c88-a45a-43cb29ba4173""]",,,,,"<p></p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2025-02-27T11:05:34Z,2025-02-27T11:05:34Z,"97b1493a-a66b-4197-bbe3-8db3a3750b89"
"Flora Soyez","e21a9754-bae9-468c-9e8d-dd944fe8473e","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","flora-soyez-0p825",,"[""cb0fdc16-86c8-45b4-a200-a7a0a868b4e5""]",,"[""74f1a07e-9754-4e06-9091-30d0d7d4e667"",""21181beb-717e-44c5-aa42-1497a9ab763c"",""b5ca1e23-5548-4d91-adfe-eeb08f2062a6"",""223ac996-74f6-4b45-b3e0-3979932ffb76"",""a7c502e1-0e9b-4fe0-87f6-a06d827705b8"",""6f7469f2-f328-4a77-9090-123cb9fd5de4"",""2bb9642d-dc5a-4fc3-a812-9f98e987705e"",""2e9e1f8b-bc85-4f7a-a16b-91f106b4fa75"",""3e20987c-c439-4214-bfff-515f49d8a65f"",""96eac4f5-c18b-4b73-a6fb-9c0ea2b5740c""]","[""cb0fdc16-86c8-45b4-a200-a7a0a868b4e5""]",,,,,"<p>communications consultant</p>
","[""e1b13728-5253-484b-92d6-0c451813adff""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2025-01-24T08:22:55Z,2025-01-24T10:13:30Z,"09dfce2e-3bd5-4ef0-9253-ef06c201214a"
"Susanna Bottaro","e314cc4f-3bf5-4c55-a01d-7346efd17f93","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","susanna-bottaro-j5tn0","[""62f977b6-e3ef-4f6b-906d-66e498dd0483""]","[""62f977b6-e3ef-4f6b-906d-66e498dd0483"",""d5357589-65fd-456f-a506-7a4d1275451c"",""79e69062-1f22-4acd-bd5c-b4b0f17a3dad""]",,"[""efa0e29d-99f2-4ffd-b390-9d3ba0b78bbe"",""59261bed-973b-4a21-89aa-cf91f2ab9185"",""1eb61b38-2851-4c2f-abb5-2427fc6f3777""]","[""62f977b6-e3ef-4f6b-906d-66e498dd0483""]",,,,,"<p></p>
","[""77164e27-9402-4336-bc1f-84b08612a080""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2024-11-18T16:09:04Z,2024-12-18T11:03:32Z,
"EUARENAS","e3784748-50fb-4b76-9709-794c2d53a64c","[""fcb0cbbc-98a5-4743-8c8b-1cb1c8326a85""]","euarenas-vi8id","[""891adab9-d98b-4c92-9584-f4c10cc50a20""]","[""891adab9-d98b-4c92-9584-f4c10cc50a20""]","[""5f178089-b2f1-4c4a-ad32-d60730f5652e"",""3d5dedec-84aa-49e7-8bc4-d44812c99a97"",""2928594c-ac0f-40c2-b915-9d2abacf9804"",""b1d63812-7f03-4fa0-bfc7-b8d89363baa8"",""9f1bd70a-cea1-4a1a-8f71-948c94e00513"",""3c4917d4-7467-4fef-a6a3-af7b61b9e196"",""932d682a-b111-46b2-b6a5-aade8c598da6"",""2334e1f6-02d5-451a-bc36-b2af4777d99e""]","[""3e20987c-c439-4214-bfff-515f49d8a65f"",""b6eb6f2d-beae-4471-b980-95b11d48b675"",""e03634a6-e859-45e3-bb69-6cc0b7d5f8d5""]",,"[""2e0a5e35-c3b4-41ab-ae70-9dc825ca4c1b""]",,,,,"[""640a7a20-7496-4b99-b7b9-49902028b577""]",,,,,,,,,,,,,,,,,,"[""f80d06e4-b326-4364-b250-0afa1fc777f3""]",,"[""891adab9-d98b-4c92-9584-f4c10cc50a20""]","[""e2bcbb17-392f-44ad-b580-e26a0e7b1bb0"",""ce6b0050-4b68-483d-a409-0f737c69711a"",""8c61a25b-8809-4fb9-89fc-80145d953c95"",""637f0722-6a17-4640-8e03-d06d174fc1d0"",""f8e591df-1904-4622-8761-ea4d6541763e"",""a620fe8c-7020-4e2c-9367-a352113f1b16"",""aeeb3524-6f2f-4005-aba8-5a95d0e56cb7"",""ee634392-1cbc-4ae4-8a6e-457c9bf2bd3d"",""98a2bd49-b332-48ed-8c3e-a459ead1c590"",""e93bcc5d-7c91-44dc-8ed1-0a8b4c5c5486""]","[{""organisation"":""University of Eastern Finland"",""role"":""Lead""},{""organisation"":""LUISS"",""role"":""""},{""organisation"":""Eutropian"",""role"":""""},{""organisation"":""Gdansk (Municipality?)"",""role"":""""},{""organisation"":""People’s Voice Media"",""role"":""""},{""organisation"":""CRN"",""role"":""""},{""organisation"":""The Department of Socio-Economic Geography at the University of Gdansk"",""role"":""""},{""organisation"":""Development Centre of Võru County"",""role"":""""},{""organisation"":""SWPS University"",""role"":""""},{""organisation"":""The Municipality of Reggio Emilia"",""role"":""""},{""role"":""""}]","2020-12-31T22:00:00.000Z","2024-09-30T21:00:00.000Z","<p>Democracy across Europe has experienced immense challenge, change and uncertainty in recent years (Canal 2014; European Commission &amp; Merkel; 2019) - from the rise of populism to decreasing levels of public trust in governance institutions and processes, to the war in Ukraine. Set against the backdrop of these issues, <strong>EUARENAS</strong> has been investigating how cities and urban spaces can strengthen legitimacy, identification and engagement within the democratic public sphere. Specifically, <strong>EUARENAS </strong>has been exploring how participation and deliberation in democracy and decision-making can be increased, and how voices and communities who are excluded from such arenas can be more actively involved.</p>
","<p>Foresight is one of the research strands present in <strong>EUARENAS</strong>. In this project, foresight is both a tool for understanding democratic innovations as they emerge, and for engaging citizens and other actors in such innovations within the participatory and deliberative realms. Mixed method approaches to foresight that incorporate a diversity of activities such as media discourse analysis, lived experience storytelling, social media analysis, three horizons mapping, driver-mapping, scenario and visioning exercises and policy stress- testing have been used in <strong>EUARENAS</strong> to investigate and hypothesise over future trends and scenarios in participatory democracies.&nbsp;</p>
<p>From this work, we propose the following recommendations for Cities wanting to strive towards more equitable local democracies:</p>
<ol>
<li>Address structural barriers to participation</li>
<li>Build relationships of trust</li>
<li>Invest in formal and civic education</li>
<li>Make decisions for the long-term</li>
</ol>
<p>A more equitable, inclusive local democracy landscape is not too far in the distance for us to conceive it being possible. In fact, <strong>the future is now</strong> – the seeds to create it are already being planted, they just need nurturing by:<br></p>
<ul>
<li>Scaling and mainstreaming existing pilot or niche practices that are working locally – whether that beparticipatory budgeting, citizen assemblies or other smaller-scale projects – so that these become thenew ‘status quo’</li>
<li>Adopting test and learn approaches to promote experimentation and on-going learning – this will enableongoing innovation and be responsive to society's needs</li>
<li>Finding ways to celebrate and connect-up the small changes that are taking place - this will help people see that progress is being made, even when it feels like things are changing too slow</li>
</ul>
<p></p>
","<p></p>
",,,,,,,,"{""url"":""https://static.wixstatic.com/media/471908_77b2ade5950c4b309f9f810ce6218064~mv2.webp"",""caption"":""""}","{""url"":"" "",""caption"":""""}",,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2024-10-26T15:20:03Z,2024-12-04T09:05:21Z,"d3268e01-e2ba-455a-81c4-d86515cf97f8"
"Serhat Çakır","e499fb7e-33ec-4a39-9ea7-3a7012fa44a5","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","serhat-akr-x3jd2","[""a238fa17-301b-4b6a-88fc-73b34b62c2c9""]","[""a238fa17-301b-4b6a-88fc-73b34b62c2c9"",""d5357589-65fd-456f-a506-7a4d1275451c"",""79e69062-1f22-4acd-bd5c-b4b0f17a3dad""]",,"[""2df0021e-5e71-40d8-ad12-d0efc4ff1120"",""18163d96-26a0-441d-ae48-e7f7d0fabfb5""]","[""a238fa17-301b-4b6a-88fc-73b34b62c2c9""]",,,,,"<p>Technology and Knowledge Management Department</p>
","[""fe4aa5b6-815d-4e4a-8f1b-d387047c0d12""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,"https://www.linkedin.com/in/serhat-cakir-0b871a8/","https://akademik.baskent.edu.tr/serhatc?dil=EN&birim=330&menu_id=8",,,2024-11-18T16:10:50Z,2024-12-27T07:54:39Z,
"Minna Takala","e4a797f7-500b-4268-bfaf-fcff7499cb7a","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","minna-takala-ifqtp","[""d2d377d5-d3da-4c69-8224-286884a335bf""]","[""d2d377d5-d3da-4c69-8224-286884a335bf""]","[""3c4917d4-7467-4fef-a6a3-af7b61b9e196"",""b1d63812-7f03-4fa0-bfc7-b8d89363baa8"",""932d682a-b111-46b2-b6a5-aade8c598da6"",""6c84e284-84b3-49dd-938d-3a5d8a9f7259"",""62ab648a-382e-45eb-8833-bc7f49f9b53a"",""dda76cda-872f-4340-9052-b1db8dec90f8"",""310e47a9-a0b4-44ec-b8ec-c6e01648d9f7"",""8e33b625-2cdf-4e19-bd56-6c032da33926"",""f17b8201-5b2f-4b91-914e-0d266ea1312a"",""133cc9da-19a4-484d-af28-63184ba197f3"",""d86d878d-d647-4b6f-8473-72550e3f34df"",""c396378a-bdd0-4426-bb91-308e8bc709e3"",""6cffa4fa-0c42-4736-a303-303f925373db"",""2ce3f199-ccbb-4fe4-9280-8d18749b430b"",""c8800cb3-c7db-4eed-af54-a2bccd22d858"",""07a42a99-bf45-48a7-bf77-764200da0bff""]","[""6f7469f2-f328-4a77-9090-123cb9fd5de4"",""9fc4e030-af14-4758-b196-a6e944f572a4"",""b43f4e42-15ce-4719-8df3-9aec8bf5fcdb"",""3e20987c-c439-4214-bfff-515f49d8a65f"",""878dc6c9-9211-499f-81ae-a9f063bf5081"",""a7dd83e8-450f-43e9-998a-cb6d7b97ea80"",""ac800b5e-7ef9-450c-9bb6-ce80e3551341"",""1fe4dd25-6f55-464b-bcda-044ccaf7409c"",""e429e216-901f-4516-9e2f-3de284688a2a"",""d75cd213-c228-408c-89dd-c83d28c99a1a"",""feca8a46-7b9e-4b71-9135-f75625b78e56""]","[""d2d377d5-d3da-4c69-8224-286884a335bf""]",,,,,"<p>Strategist &amp; Creative Thinker, Innovation &amp; Impact, Trends &amp; Futures, Culture &amp; Behaviour, Brand &amp; Experience</p>
","[""4f54955a-fc9f-4d1b-9058-88ddb2835ee2""]","[""c48dc03b-8b35-4b17-805d-d3750d17568f"",""74fbdf38-08bf-4cf3-8098-17cc3c6e78f6"",""2576b34f-3641-4a8f-b2d7-282af55a3efa"",""7eab6072-16a2-4552-9c1c-302872015bf9"",""97c85dd0-f73b-47d8-b6d7-6da45e0cfaf5"",""cccf946c-4083-42d0-a0f1-626a5b1be7f1""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2025-05-09T16:55:15Z,2025-05-09T16:55:15Z,"047fd2b4-41db-4330-b853-372cbf0465f4"
"proEthics","e54a578c-d299-4ee5-991c-3fba5f1cdbfc","[""fcb0cbbc-98a5-4743-8c8b-1cb1c8326a85""]","proethics-na69y","[""79e69062-1f22-4acd-bd5c-b4b0f17a3dad""]","[""79e69062-1f22-4acd-bd5c-b4b0f17a3dad""]",,"[""4c818707-716e-4449-9fbb-64c25e62a7ac"",""181c91b0-ed13-40a9-8c45-077c30a6b4ad"",""3e20987c-c439-4214-bfff-515f49d8a65f""]",,"[""b481d907-23d2-483f-ae40-2b6c09e61244""]",,,,,,,,,,,,,,,,,,,,,,,"[""f80d06e4-b326-4364-b250-0afa1fc777f3""]",,,"[""fbf6fe92-1bc7-478e-89f2-dfb19c9ed93a"",""5b2cd196-250b-4fec-90db-e8dc573c905f"",""3633ed41-5816-4e2f-af39-58da1eba7347"",""778f768e-6505-45c4-9561-562ace317b64"",""21e32dd2-2403-4563-887c-e4155cf68c39"",""318c673f-a0fc-44a5-a6ce-a2aa9c18def1"",""e7aa3aca-1b3a-4d30-94d8-9ff72036ded8"",""33dd2cbd-6362-4a02-a4c3-6149607f98aa"",""ee63b1f1-e3d8-4998-b6be-0723126dc45b"",""1c6695d3-0ea3-448f-b229-ca0381e6502e"",""95224d24-7699-4603-8d55-58c15794dd58"",""1814dcfd-c693-4b14-ac14-9c69bb240498"",""3cdcd138-8c66-412e-95d0-5e923e43abba"",""54570203-bba1-4d4c-867c-4bcafc433f33""]","[{""organisation"":""ZSI"",""role"":""Coordinator""},{""organisation"":""Technologiradet"",""role"":""""},{""organisation"":""TU Delft"",""role"":""""},{""organisation"":""SciencesPo"",""role"":""""},{""organisation"":""NESTA"",""role"":""""},{""organisation"":""EUREKA"",""role"":""""},{""organisation"":""EUREC Office"",""role"":""""},{""organisation"":""Innoviris"",""role"":""""},{""organisation"":""CDTI"",""role"":""""},{""organisation"":""FFG"",""role"":""""},{""organisation"":""VDI/VDE IT"",""role"":""""},{""organisation"":""UEFISCDI"",""role"":""""},{""organisation"":""Research Council of Lithuania"",""role"":""""},{""organisation"":""TC AC"",""role"":""""},{""role"":""""}]","2019-12-31T22:00:00.000Z","2023-11-30T22:00:00.000Z","<p>PRO-Ethics’ overall objective is to create a comprehensive, co-developed, tested and widely consulted Ethics Framework that enables a more effective handling of the ethical dimension of innovation, with a special focus on the engagement of citizens in participative innovation, to the benefit of more relevant, fair and effective innovation activities.<br>In order to reach this overall objective, PRO-Ethics has the following specific objectives:</p>
<ul>
<li>To gather and systematise needs, requirements and values of citizens (including the underlying ethical principles) within participatory processes to improve access and avoid a technological divide</li>
<li>To create and promote fair and gender sensitive interaction modes taking into account legal frameworks, governance structures and regulations, codes of practice, and tools (including IT Tools)\</li>
<li>To test, pilot and assess novel participation configurations in three fields of action of RFOs‘ activities: Participation in innovation projects, participation in strategy development and participation in evaluation processes</li>
<li>To validate findings in interactive learning formats and in dialogue with stakeholders and ethic bodies</li>
<li>To secure a widespread take-up of the developed framework across the European Union (and beyond) by consulting, sharing, and promoting standards, principles, and guidelines</li>
</ul>
","<p></p>
",,,,,,,,,"{""url"":"" "",""caption"":""""}",,,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,,,,,2024-11-11T15:56:44Z,2025-09-07T13:44:03Z,"21c3321d-9a2c-42f5-8dab-2702f09e672a"
"Katrina Günther","e609c6ef-6ed3-4f25-b9f6-da4ed3143214","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","katrina-gnther-8k9hx","[""f50a58b3-f887-4fe7-9ff0-48132ebf08ef""]","[""f50a58b3-f887-4fe7-9ff0-48132ebf08ef"",""d5357589-65fd-456f-a506-7a4d1275451c"",""79e69062-1f22-4acd-bd5c-b4b0f17a3dad""]",,,"[""f50a58b3-f887-4fe7-9ff0-48132ebf08ef""]",,,,,"<p></p>
","[""24e5e426-7a0f-46eb-80e5-f4f6c46bdfff""]","[""268291b8-7304-4e5a-a2d4-1cf12eb5fb9d""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,"https://www.linkedin.com/in/katrina-g%C3%BCnther-2b4b27110/","https://www.futuresprobes.com/",,,2024-11-18T16:11:45Z,2024-12-29T20:26:06Z,
"Simon Winter","e65aa6fd-68f7-4509-9816-d8d2e71f11d3","[""ff988067-2fee-41f2-9b33-7eb14d282b17""]","simon-winter-0v92n","[""cbe63717-6db0-4f50-8931-e38c37fd0c23""]","[""cbe63717-6db0-4f50-8931-e38c37fd0c23"",""d5357589-65fd-456f-a506-7a4d1275451c"",""79e69062-1f22-4acd-bd5c-b4b0f17a3dad""]",,,"[""cbe63717-6db0-4f50-8931-e38c37fd0c23""]",,,,,"<p></p>
","[""24e5e426-7a0f-46eb-80e5-f4f6c46bdfff""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""displayName"":"""",""url"":"""",""fileName"":"""",""thumbnail"":"""",""sizeInBytes"":"""",""type"":""""}]",,,,"https://www.linkedin.com/in/simon-schmitz-11237785/","https://projekttraeger.dlr.de/en/references/strategic-foresight",,,2024-11-18T16:10:41Z,2024-12-27T07:39:05Z,
